col1,col2,Cluster
804251.00,329956.00,cluster_0
797594.00,302109.00,cluster_0
803448.00,314797.00,cluster_0
765502.00,240340.00,cluster_0
795527.00,315510.00,cluster_0
794640.00,313497.00,cluster_0
808717.00,335740.00,cluster_0
790932.00,305223.00,cluster_0
816852.00,352965.00,cluster_0
826228.00,376658.00,cluster_0
795299.00,312036.00,cluster_0
808686.00,332209.00,cluster_0
809594.00,344872.00,cluster_0
799275.00,324108.00,cluster_0
878184.00,487392.00,cluster_1
798472.00,322218.00,cluster_0
824822.00,367091.00,cluster_0
746769.00,205186.00,cluster_0
756701.00,207223.00,cluster_0
795489.00,287279.00,cluster_0
800483.00,320713.00,cluster_0
783491.00,288029.00,cluster_0
797162.00,306135.00,cluster_0
800272.00,316170.00,cluster_0
806827.00,324616.00,cluster_0
802853.00,314938.00,cluster_0
800804.00,316615.00,cluster_0
813173.00,354777.00,cluster_0
801588.00,319814.00,cluster_0
797400.00,315778.00,cluster_0
823840.00,368410.00,cluster_0
811391.00,343836.00,cluster_0
801055.00,321833.00,cluster_0
804038.00,306622.00,cluster_0
803780.00,334441.00,cluster_0
834173.00,386159.00,cluster_0
802784.00,313853.00,cluster_0
807293.00,347456.00,cluster_0
817119.00,336333.00,cluster_0
786635.00,269352.00,cluster_0
824624.00,381716.00,cluster_0
797415.00,319840.00,cluster_0
800772.00,325023.00,cluster_0
806626.00,318966.00,cluster_0
800845.00,311838.00,cluster_0
769386.00,259892.00,cluster_0
797272.00,324228.00,cluster_0
807409.00,325526.00,cluster_0
795836.00,291870.00,cluster_0
798321.00,319665.00,cluster_0
805372.00,313397.00,cluster_0
790738.00,308028.00,cluster_0
800667.00,315995.00,cluster_0
795205.00,316433.00,cluster_0
809054.00,345541.00,cluster_0
808452.00,320117.00,cluster_0
779897.00,279572.00,cluster_0
782642.00,275308.00,cluster_0
797569.00,321799.00,cluster_0
801751.00,318110.00,cluster_0
787644.00,297715.00,cluster_0
807401.00,314610.00,cluster_0
800677.00,310656.00,cluster_0
800394.00,301473.00,cluster_0
795571.00,310093.00,cluster_0
814158.00,335578.00,cluster_0
811913.00,325091.00,cluster_0
806982.00,316680.00,cluster_0
775604.00,274485.00,cluster_0
800133.00,327081.00,cluster_0
806511.00,313841.00,cluster_0
803796.00,314893.00,cluster_0
802012.00,318315.00,cluster_0
826789.00,377676.00,cluster_0
814108.00,344096.00,cluster_0
804354.00,309671.00,cluster_0
807017.00,330432.00,cluster_0
803774.00,334756.00,cluster_0
817410.00,346944.00,cluster_0
841928.00,398948.00,cluster_1
816145.00,349032.00,cluster_0
818622.00,370753.00,cluster_0
786245.00,292352.00,cluster_0
784164.00,285702.00,cluster_0
805390.00,319676.00,cluster_0
790774.00,303642.00,cluster_0
803277.00,319525.00,cluster_0
833182.00,379714.00,cluster_0
773023.00,251826.00,cluster_0
801609.00,320399.00,cluster_0
778965.00,282290.00,cluster_0
814317.00,333112.00,cluster_0
805080.00,323708.00,cluster_0
801080.00,318049.00,cluster_0
799724.00,318884.00,cluster_0
798059.00,316113.00,cluster_0
806176.00,320301.00,cluster_0
769876.00,257669.00,cluster_0
825716.00,373098.00,cluster_0
791983.00,298565.00,cluster_0
801386.00,313545.00,cluster_0
804871.00,317801.00,cluster_0
810903.00,332925.00,cluster_0
838276.00,395673.00,cluster_0
810543.00,341180.00,cluster_0
777978.00,252419.00,cluster_0
820258.00,351165.00,cluster_0
801997.00,319385.00,cluster_0
779437.00,281959.00,cluster_0
810253.00,323873.00,cluster_0
794826.00,309589.00,cluster_0
814280.00,344223.00,cluster_0
832651.00,373469.00,cluster_0
794142.00,306704.00,cluster_0
802041.00,319504.00,cluster_0
804190.00,320706.00,cluster_0
798983.00,325682.00,cluster_0
840462.00,402858.00,cluster_1
799912.00,323363.00,cluster_0
804119.00,328544.00,cluster_0
804358.00,320802.00,cluster_0
803057.00,331037.00,cluster_0
803031.00,325811.00,cluster_0
784151.00,283760.00,cluster_0
800444.00,311497.00,cluster_0
802004.00,317772.00,cluster_0
803470.00,319069.00,cluster_0
811277.00,335577.00,cluster_0
803332.00,315488.00,cluster_0
800037.00,317963.00,cluster_0
813436.00,360446.00,cluster_0
800694.00,316789.00,cluster_0
838129.00,404012.00,cluster_1
764997.00,249477.00,cluster_0
800316.00,311699.00,cluster_0
806848.00,320541.00,cluster_0
805462.00,317833.00,cluster_0
798308.00,312788.00,cluster_0
802655.00,316263.00,cluster_0
801456.00,320080.00,cluster_0
801309.00,318213.00,cluster_0
840886.00,397888.00,cluster_0
829529.00,375007.00,cluster_0
830805.00,370801.00,cluster_0
804979.00,334141.00,cluster_0
804013.00,316083.00,cluster_0
808489.00,317021.00,cluster_0
770113.00,241615.00,cluster_0
804332.00,319006.00,cluster_0
833661.00,389733.00,cluster_0
797834.00,297329.00,cluster_0
794956.00,309980.00,cluster_0
801232.00,307078.00,cluster_0
809552.00,342258.00,cluster_0
794615.00,305632.00,cluster_0
809259.00,345634.00,cluster_0
811502.00,355939.00,cluster_0
801301.00,316893.00,cluster_0
803370.00,318247.00,cluster_0
804702.00,315881.00,cluster_0
797009.00,293194.00,cluster_0
813791.00,334609.00,cluster_0
812965.00,330224.00,cluster_0
826048.00,374236.00,cluster_0
800959.00,322309.00,cluster_0
803405.00,317316.00,cluster_0
802254.00,320673.00,cluster_0
783116.00,265635.00,cluster_0
798633.00,317300.00,cluster_0
801482.00,327644.00,cluster_0
798612.00,326404.00,cluster_0
799001.00,302014.00,cluster_0
802537.00,312497.00,cluster_0
799794.00,315080.00,cluster_0
793892.00,313943.00,cluster_0
804691.00,332987.00,cluster_0
793855.00,298525.00,cluster_0
796952.00,318633.00,cluster_0
800655.00,320227.00,cluster_0
801780.00,318992.00,cluster_0
805977.00,320805.00,cluster_0
796916.00,323332.00,cluster_0
820904.00,351763.00,cluster_0
808405.00,318841.00,cluster_0
765283.00,249459.00,cluster_0
824212.00,363776.00,cluster_0
798981.00,311092.00,cluster_0
797178.00,310439.00,cluster_0
800582.00,316980.00,cluster_0
803839.00,310353.00,cluster_0
796283.00,315582.00,cluster_0
801145.00,317601.00,cluster_0
801662.00,318423.00,cluster_0
801782.00,318281.00,cluster_0
803377.00,319212.00,cluster_0
803932.00,318781.00,cluster_0
806192.00,337849.00,cluster_0
789583.00,287700.00,cluster_0
801586.00,318947.00,cluster_0
804251.00,331304.00,cluster_0
799667.00,316830.00,cluster_0
759789.00,229116.00,cluster_0
799021.00,326404.00,cluster_0
793684.00,312065.00,cluster_0
806320.00,315242.00,cluster_0
786234.00,267976.00,cluster_0
821151.00,366545.00,cluster_0
801903.00,312794.00,cluster_0
782506.00,279930.00,cluster_0
803627.00,319323.00,cluster_0
794991.00,291216.00,cluster_0
794667.00,315069.00,cluster_0
799291.00,317500.00,cluster_0
798243.00,324160.00,cluster_0
804408.00,337683.00,cluster_0
818119.00,348676.00,cluster_0
810502.00,336169.00,cluster_0
793560.00,285392.00,cluster_0
801326.00,315779.00,cluster_0
808644.00,326320.00,cluster_0
813645.00,328765.00,cluster_0
800966.00,317165.00,cluster_0
797111.00,302781.00,cluster_0
802431.00,322048.00,cluster_0
811061.00,333595.00,cluster_0
786719.00,283364.00,cluster_0
773955.00,239849.00,cluster_0
803701.00,321815.00,cluster_0
783110.00,289805.00,cluster_0
800235.00,316652.00,cluster_0
807421.00,317527.00,cluster_0
797947.00,319734.00,cluster_0
805035.00,317469.00,cluster_0
801166.00,322298.00,cluster_0
846693.00,429031.00,cluster_1
801493.00,322249.00,cluster_0
806087.00,326636.00,cluster_0
810657.00,329468.00,cluster_0
801313.00,300606.00,cluster_0
800390.00,309948.00,cluster_0
801634.00,318965.00,cluster_0
799197.00,314215.00,cluster_0
795254.00,296488.00,cluster_0
807696.00,320548.00,cluster_0
800461.00,326821.00,cluster_0
801174.00,320442.00,cluster_0
809781.00,326904.00,cluster_0
826585.00,366934.00,cluster_0
804429.00,312164.00,cluster_0
788005.00,292268.00,cluster_0
801183.00,316191.00,cluster_0
378274.00,816341.00,cluster_2
406233.00,813072.00,cluster_2
401478.00,785370.00,cluster_2
448651.00,847994.00,cluster_2
434440.00,822866.00,cluster_2
369199.00,734895.00,cluster_2
413241.00,771595.00,cluster_2
369418.00,733394.00,cluster_2
378563.00,789670.00,cluster_2
424190.00,780052.00,cluster_2
415993.00,776671.00,cluster_2
421352.00,799127.00,cluster_2
432656.00,783776.00,cluster_2
383032.00,788008.00,cluster_2
414377.00,771258.00,cluster_2
425260.00,773661.00,cluster_2
469139.00,810971.00,cluster_2
442979.00,803024.00,cluster_2
347079.00,803582.00,cluster_2
412797.00,803180.00,cluster_2
352874.00,807952.00,cluster_2
442286.00,755194.00,cluster_2
416433.00,786159.00,cluster_2
419700.00,793447.00,cluster_2
422961.00,821595.00,cluster_2
400008.00,789447.00,cluster_2
429586.00,775621.00,cluster_2
457561.00,788245.00,cluster_2
415417.00,785827.00,cluster_2
389552.00,750700.00,cluster_2
415598.00,786499.00,cluster_2
443447.00,783977.00,cluster_2
404792.00,749210.00,cluster_2
389392.00,730768.00,cluster_2
473485.00,847098.00,cluster_2
491614.00,778997.00,cluster_2
437483.00,785130.00,cluster_2
452570.00,848127.00,cluster_2
417197.00,778243.00,cluster_2
405986.00,787439.00,cluster_2
437568.00,794323.00,cluster_2
420319.00,794333.00,cluster_2
418963.00,746595.00,cluster_2
469422.00,822619.00,cluster_2
397688.00,762902.00,cluster_2
418149.00,790096.00,cluster_2
407289.00,798870.00,cluster_2
360319.00,778673.00,cluster_2
473799.00,795167.00,cluster_2
445199.00,763833.00,cluster_2
446537.00,828924.00,cluster_2
410019.00,732704.00,cluster_2
396540.00,815936.00,cluster_2
407694.00,718592.00,cluster_2
417091.00,792545.00,cluster_2
442260.00,754050.00,cluster_2
411526.00,784658.00,cluster_2
407814.00,765816.00,cluster_2
394022.00,803914.00,cluster_2
481133.00,781413.00,cluster_2
396118.00,794614.00,cluster_2
458538.00,786673.00,cluster_2
419721.00,789724.00,cluster_2
424476.00,781552.00,cluster_2
377720.00,727349.00,cluster_2
448336.00,789445.00,cluster_2
412227.00,787450.00,cluster_2
408745.00,824896.00,cluster_2
417016.00,774869.00,cluster_2
395274.00,786698.00,cluster_2
412541.00,806622.00,cluster_2
412109.00,735920.00,cluster_2
407023.00,787385.00,cluster_2
376660.00,815936.00,cluster_2
396548.00,784388.00,cluster_2
508535.00,830710.00,cluster_2
414014.00,816460.00,cluster_2
440782.00,782395.00,cluster_2
436951.00,814456.00,cluster_2
393758.00,750953.00,cluster_2
418410.00,795929.00,cluster_2
425991.00,787029.00,cluster_2
414562.00,787355.00,cluster_2
408712.00,803987.00,cluster_2
377858.00,811790.00,cluster_2
417169.00,792321.00,cluster_2
460371.00,780609.00,cluster_2
388873.00,746909.00,cluster_2
395641.00,808571.00,cluster_2
386436.00,791388.00,cluster_2
440667.00,768761.00,cluster_2
438437.00,730300.00,cluster_2
370839.00,727884.00,cluster_2
422917.00,781112.00,cluster_2
391555.00,789079.00,cluster_2
402666.00,814060.00,cluster_2
474368.00,812039.00,cluster_2
406176.00,760860.00,cluster_2
463768.00,793154.00,cluster_2
446307.00,796523.00,cluster_2
402309.00,786873.00,cluster_2
413946.00,786971.00,cluster_2
425053.00,790566.00,cluster_2
416926.00,785113.00,cluster_2
424023.00,737453.00,cluster_2
417447.00,782955.00,cluster_2
415672.00,787824.00,cluster_2
416019.00,787562.00,cluster_2
417515.00,787648.00,cluster_2
459230.00,803720.00,cluster_2
447833.00,819282.00,cluster_2
418199.00,851439.00,cluster_2
417393.00,771537.00,cluster_2
441415.00,780207.00,cluster_2
399634.00,751940.00,cluster_2
373360.00,784232.00,cluster_2
419227.00,779215.00,cluster_2
434717.00,808225.00,cluster_2
397669.00,792218.00,cluster_2
412028.00,773494.00,cluster_2
407504.00,803363.00,cluster_2
365147.00,790525.00,cluster_2
459328.00,805961.00,cluster_2
429472.00,860855.00,cluster_2
480128.00,785580.00,cluster_2
344915.00,702496.00,cluster_2
410969.00,770451.00,cluster_2
407460.00,791404.00,cluster_2
420476.00,750495.00,cluster_2
397747.00,792207.00,cluster_2
408428.00,771823.00,cluster_2
397806.00,749559.00,cluster_2
426040.00,825049.00,cluster_2
407565.00,766203.00,cluster_2
414317.00,828815.00,cluster_2
410610.00,765111.00,cluster_2
412388.00,784064.00,cluster_2
406337.00,750353.00,cluster_2
422419.00,754048.00,cluster_2
416039.00,730594.00,cluster_2
414512.00,793966.00,cluster_2
398478.00,822297.00,cluster_2
424375.00,721868.00,cluster_2
403890.00,792420.00,cluster_2
400902.00,772920.00,cluster_2
402367.00,782997.00,cluster_2
472917.00,830363.00,cluster_2
418621.00,840463.00,cluster_2
329002.00,727685.00,cluster_2
418618.00,811618.00,cluster_2
425356.00,745471.00,cluster_2
470922.00,770669.00,cluster_2
400598.00,790903.00,cluster_2
412851.00,774986.00,cluster_2
492415.00,829655.00,cluster_2
400079.00,749617.00,cluster_2
417673.00,785965.00,cluster_2
424720.00,768456.00,cluster_2
386415.00,801444.00,cluster_2
426689.00,788562.00,cluster_2
430747.00,776261.00,cluster_2
405714.00,781619.00,cluster_2
429220.00,787348.00,cluster_2
427850.00,762201.00,cluster_2
434080.00,785264.00,cluster_2
473514.00,788780.00,cluster_2
412386.00,777312.00,cluster_2
430686.00,844506.00,cluster_2
409142.00,811927.00,cluster_2
422198.00,724557.00,cluster_2
392185.00,713763.00,cluster_2
412677.00,786951.00,cluster_2
399149.00,784376.00,cluster_2
382693.00,749680.00,cluster_2
527515.00,831478.00,cluster_2
448519.00,805219.00,cluster_2
430779.00,770145.00,cluster_2
413556.00,758080.00,cluster_2
392140.00,769924.00,cluster_2
416855.00,794023.00,cluster_2
389713.00,772742.00,cluster_2
398498.00,776720.00,cluster_2
473727.00,807244.00,cluster_2
389410.00,788256.00,cluster_2
377230.00,790154.00,cluster_2
415564.00,784464.00,cluster_2
456799.00,844976.00,cluster_2
444336.00,820061.00,cluster_2
404359.00,783919.00,cluster_2
453154.00,776082.00,cluster_2
425019.00,759577.00,cluster_2
415895.00,775793.00,cluster_2
420083.00,787815.00,cluster_2
506612.00,858859.00,cluster_2
436648.00,859634.00,cluster_2
403522.00,785432.00,cluster_2
401407.00,759648.00,cluster_2
403852.00,792473.00,cluster_2
367398.00,701756.00,cluster_2
412453.00,784453.00,cluster_2
382124.00,786262.00,cluster_2
416884.00,786845.00,cluster_2
448865.00,836781.00,cluster_2
383821.00,808301.00,cluster_2
414249.00,796590.00,cluster_2
457338.00,789952.00,cluster_2
396276.00,785999.00,cluster_2
390282.00,789593.00,cluster_2
409417.00,758123.00,cluster_2
397561.00,815245.00,cluster_2
397137.00,742547.00,cluster_2
402891.00,801910.00,cluster_2
385257.00,791581.00,cluster_2
409628.00,833942.00,cluster_2
369249.00,797068.00,cluster_2
460942.00,779073.00,cluster_2
423146.00,737571.00,cluster_2
420509.00,788730.00,cluster_2
422736.00,790806.00,cluster_2
401492.00,790336.00,cluster_2
394018.00,799506.00,cluster_2
385140.00,796221.00,cluster_2
430243.00,781020.00,cluster_2
416775.00,806826.00,cluster_2
425796.00,795608.00,cluster_2
411488.00,837715.00,cluster_2
433989.00,765343.00,cluster_2
415806.00,783594.00,cluster_2
417023.00,771194.00,cluster_2
415270.00,775605.00,cluster_2
391163.00,811977.00,cluster_2
405350.00,762342.00,cluster_2
414860.00,773921.00,cluster_2
371779.00,814715.00,cluster_2
415631.00,805010.00,cluster_2
387951.00,813315.00,cluster_2
472691.00,802678.00,cluster_2
471930.00,844046.00,cluster_2
432892.00,815223.00,cluster_2
366654.00,802105.00,cluster_2
411721.00,717873.00,cluster_2
426115.00,814461.00,cluster_2
375997.00,806621.00,cluster_2
385561.00,718324.00,cluster_2
375573.00,809249.00,cluster_2
437958.00,784801.00,cluster_2
363857.00,784086.00,cluster_2
430138.00,818594.00,cluster_2
435085.00,791564.00,cluster_2
414036.00,742189.00,cluster_2
425611.00,793420.00,cluster_2
439793.00,740773.00,cluster_2
467107.00,817914.00,cluster_2
387631.00,749416.00,cluster_2
430001.00,765803.00,cluster_2
384225.00,784381.00,cluster_2
417146.00,822655.00,cluster_2
