LONG,LAT
9.9925348,57.0294118
9.9932084,57.0293025
9.9943455,57.0290611
9.9951495,57.0288719
9.9959852,57.0286286
9.9968610,57.0283436
9.9973383,57.0281685
9.9991384,57.0275088
10.0029041,57.0261591
10.0042653,57.0256654
10.0071281,57.0246463
9.9543467,57.0338543
9.9542176,57.0338378
9.5954400,57.0861845
9.5928221,57.0851818
9.5910626,57.0842022
10.2381461,57.2836706
10.2382666,57.2825106
10.2385707,57.2818859
10.2391385,57.2808065
10.2252264,57.5103628
10.2246588,57.5089472
10.2243614,57.5082430
10.1645493,57.5223522
10.1642051,57.5232502
10.1640715,57.5236813
10.1639376,57.5241277
10.1640333,57.5244818
10.1641862,57.5250103
10.1644059,57.5252463
10.1646257,57.5253798
10.1648742,57.5255747
10.1649794,57.5258416
10.1651416,57.5261648
10.1653234,57.5264163
10.1652660,57.5265240
10.1651416,57.5265599
10.1648359,57.5265599
10.1642434,57.5264778
10.1692108,57.5170876
10.1666562,57.5167911
10.1667589,57.5166326
10.1673366,57.5161361
10.1678886,57.5158121
10.1689797,57.5152605
10.1693905,57.5150399
10.1695701,57.5148675
10.1695575,57.5145917
10.1848471,57.5264801
10.1773496,57.5201786
10.1780639,57.5202144
10.1856244,57.5252218
10.1857515,57.5251974
10.1811448,57.5228426
10.1811577,57.5226841
10.1812475,57.5226082
10.1814144,57.5225669
10.2350543,57.5386777
10.2120614,57.5297860
10.2108181,57.5297171
10.2271341,57.5467577
10.2231404,57.5465945
10.2233566,57.5479071
10.2150774,57.2935475
10.2162534,57.2935809
10.2193322,57.2936683
10.2210616,57.2941444
10.2225382,57.2940717
10.2232276,57.2941195
10.2238959,57.2942008
10.2241704,57.2943654
10.2245566,57.2945057
10.2252272,57.2947022
10.2259278,57.2948697
10.2265990,57.2948787
10.2266875,57.2950342
10.2268675,57.2953502
10.2283105,57.2961933
10.2286125,57.2965741
10.2286797,57.2969730
10.2278407,57.2987226
10.2278910,57.2991760
10.1562097,57.5174955
10.1557013,57.5175394
10.2300888,57.5413010
10.2302733,57.5409971
10.2302601,57.5408910
10.2301548,57.5407355
10.2299176,57.5405093
10.2295752,57.5402618
10.2292195,57.5400427
10.2288507,57.5398377
10.2286927,57.5396963
10.2286267,57.5394559
10.2285610,57.5391872
10.2286135,57.5388479
10.2763053,57.3098610
10.2762039,57.3095667
10.2760518,57.3093340
10.2755575,57.3092039
10.2751648,57.3091286
10.2747593,57.3089370
10.2744678,57.3087248
10.2742016,57.3084853
10.2738215,57.3082731
10.2719840,57.3077050
10.2717939,57.3075407
10.2716419,57.3069658
10.2716547,57.3064593
10.2720094,57.3055558
10.2719588,57.3053847
10.2716799,57.3052751
10.2710718,57.3050972
10.2709449,57.3049808
10.2709577,57.3048576
10.2713504,57.3043648
10.2713504,57.3042552
10.2711984,57.3041663
10.2691835,57.3038787
10.2690569,57.3038035
10.2691328,57.3035364
10.2693103,57.3033654
10.2697159,57.3032695
10.2699439,57.3030642
9.7291404,56.9949283
9.7272534,56.9947770
9.7253545,56.9946952
9.7235545,56.9946069
9.7232731,56.9946367
9.7231147,56.9946771
9.7223960,56.9946303
9.7219131,56.9946185
9.7212265,56.9946128
9.7233893,57.0090004
9.7196387,57.0087063
9.7178040,57.0085778
9.7168492,57.0084902
9.7167391,57.0087653
9.7163421,57.0093670
9.6732155,57.0067667
9.6724965,57.0059662
9.6717563,57.0052886
9.6714559,57.0050315
9.6714131,57.0049264
9.6713701,57.0048387
9.6714238,57.0041493
9.6714559,57.0039857
9.6715633,57.0038688
9.6717456,57.0037812
9.6741704,57.0029048
9.6743634,57.0028639
9.6772602,57.0022270
10.2067775,57.5398684
10.2066516,57.5396785
10.2075862,57.5217021
9.7196815,57.0031093
9.7153041,57.0027938
10.2103786,57.5215005
9.7124504,57.0067841
9.7120399,57.0074333
9.7114714,57.0082687
9.6770349,57.0207210
10.1844401,57.5084343
10.1842446,57.5084593
10.1826610,57.5084893
10.1818240,57.5085091
10.1815137,57.5085268
10.1810387,57.5085519
10.1806520,57.5086044
9.6738914,57.0141214
9.6737733,57.0135724
9.6738056,57.0134497
9.6738881,57.0133860
9.6741778,57.0133393
9.6767421,57.0129421
9.6813260,57.0122289
9.6826026,57.0338180
9.6826886,57.0335495
9.6827422,57.0333743
9.6829568,57.0332225
9.6831579,57.0331592
9.6841234,57.0319098
9.6854002,57.0302225
9.6854753,57.0300824
9.6853921,57.0299706
9.6846411,57.0295969
9.6837185,57.0292641
9.6831713,57.0291240
9.6829460,57.0289955
9.6830720,57.0288853
9.2697465,56.8572760
9.2695587,56.8570179
9.2694151,56.8568306
9.6846564,57.0118535
9.6883078,57.0112597
9.6914914,57.0107334
9.6918134,57.0106750
9.6919583,57.0106224
9.6939430,57.0096118
9.6956758,57.0087472
9.6971374,57.0080000
9.6990071,57.0070851
9.6995112,57.0070063
9.6998923,57.0069331
9.7000853,57.0068105
9.7002516,57.0066411
9.7004448,57.0063870
9.7005574,57.0062468
10.0850361,56.8073163
10.0851258,56.8071062
10.0854101,56.8065717
10.0855819,56.8062427
10.0859801,56.8071871
10.0860539,56.8070269
10.0792852,56.7979086
10.0789793,56.7977131
10.0788991,56.7976619
10.0785612,56.7974180
10.0783681,56.7972741
10.0782125,56.7971478
10.0781213,56.7970419
10.0780836,56.7969157
10.0781051,56.7968011
10.0782125,56.7966366
10.0782808,56.7965351
10.0783131,56.7964499
10.0783185,56.7963648
10.0782446,56.7963105
10.0780623,56.7962430
10.0778317,56.7962019
10.0776868,56.7961842
10.0789793,56.7977131
10.0789688,56.7978175
10.0788724,56.7980026
10.0788347,56.7981319
10.0788187,56.7982317
10.0788938,56.7983110
10.0789903,56.7983610
10.0791084,56.7984021
10.0791835,56.7984403
10.0792102,56.7984844
10.0791727,56.7985255
10.0788401,56.7987194
10.0787812,56.7987781
